mz,intensity
100.9275,0.0062420587
133.0275,0.0018160309
155.0475,0.0011165042
158.0375,0.0035508783
159.0475,0.003338963
167.0925,0.0021360323
171.0425,0.0012558416
182.0275,0.0015481568
187.0025,0.0012833651
187.0375,0.0017246082
187.0425,0.0027237807
198.0325,0.002029595
199.0075,0.0013634086
199.0275,0.0013077403
199.0375,0.0013887987
199.0425,0.0097757755
199.0475,0.0014411454
200.0425,0.0010419445
214.9975,0.004458426
215.0375,0.007979933
226.0225,0.0014413568
227.0325,0.0036026195
242.9925,0.0072065885
243.0025,0.0028308737
243.0275,0.028857894
244.0375,0.0032574043
270.9875,0.026683854
271.9975,0.0024039748
272.0225,0.0030430302
272.0375,0.005071123
285.0325,0.0037643467
298.9775,0.0042716577
298.9875,0.010088156
299.0125,0.011901633
299.0175,0.013786449
299.0225,0.033433378
300.0175,0.006645779
300.0225,0.0025066468
301.0225,0.001387314
311.2525,0.002213207
351.2625,0.008939733
351.2775,0.0062449337
381.3075,0.01742435
391.2975,0.008788578
477.2325,0.003920798
477.2525,0.017394792
478.2575,0.0061353343
493.2425,0.0076019117
654.3575,0.026683854
